,dayl,prcp,srad,swe,tmax,tmin,vp,TM
1929,45964.79,0.0,347.99,0.0,24.45,13.6,1560.2,1985-04-13
1930,45964.79,1.69,250.47,0.0,22.08,14.27,1626.28,1985-04-14
1931,45964.79,10.53,218.52,0.0,22.85,14.24,1625.95,1985-04-15
1932,46310.41,9.34,336.26,0.0,24.85,10.1,1247.81,1985-04-16
1933,46310.41,0.0,473.21,0.0,26.77,10.47,1277.57,1985-04-17
1934,46310.41,0.0,491.54,0.0,28.99,11.32,1346.0,1985-04-18
1935,46652.23,0.0,449.54,0.0,28.79,13.6,1560.41,1985-04-19
1936,46656.03,0.0,481.36,0.0,29.86,12.7,1465.41,1985-04-20
1937,46656.03,0.0,487.62,0.0,30.5,12.67,1459.7,1985-04-21
1938,46940.39,0.0,501.58,0.0,30.2,11.52,1361.45,1985-04-22
1939,47001.59,0.0,410.14,0.0,28.82,15.09,1723.64,1985-04-23
1940,47001.59,0.29,357.85,0.0,26.88,15.29,1743.38,1985-04-24
1941,47203.29,0.0,439.82,0.0,28.51,13.81,1584.07,1985-04-25
1942,47347.2,0.0,466.74,0.0,31.0,14.59,1664.36,1985-04-26
1943,47347.2,0.0,432.43,0.0,31.04,16.29,1846.34,1985-04-27
1944,47421.54,0.0,426.09,0.0,31.0,16.54,1882.15,1985-04-28
1945,47692.82,0.0,428.26,0.0,31.54,16.92,1913.8,1985-04-29
1946,47692.82,0.0,443.59,0.0,31.52,16.17,1828.88,1985-04-30
1947,47694.71,0.0,449.59,0.0,28.78,13.8,1577.69,1985-05-01
1948,48011.43,1.26,326.6,0.0,27.72,17.38,1981.18,1985-05-02
1949,48038.37,23.95,237.33,0.0,26.13,16.86,1910.98,1985-05-03
1950,48038.37,0.0,433.89,0.0,26.28,13.02,1495.67,1985-05-04
1951,48196.88,0.0,496.31,0.0,26.5,10.31,1264.39,1985-05-05
1952,48384.0,0.0,487.07,0.0,29.12,12.89,1478.22,1985-05-06
1953,48384.0,0.0,478.71,0.0,30.83,14.84,1609.76,1985-05-07
1954,48385.9,15.15,291.21,0.0,29.87,17.94,2028.16,1985-05-08
1955,48628.82,44.35,236.51,0.0,23.95,15.26,1733.43,1985-05-09
1956,48729.62,24.63,239.96,0.0,24.69,15.97,1808.59,1985-05-10
1957,48729.62,0.0,442.04,0.0,28.75,15.51,1761.77,1985-05-11
1958,48748.57,0.0,457.93,0.0,31.04,16.72,1885.89,1985-05-12
1959,49014.0,0.0,464.32,0.0,32.59,17.56,1979.18,1985-05-13
1960,49075.19,0.0,466.38,0.0,33.5,18.04,1996.81,1985-05-14
1961,49075.19,0.0,446.97,0.0,33.4,18.68,2107.38,1985-05-15
1962,49094.14,0.0,482.89,0.0,32.06,15.99,1741.97,1985-05-16
1963,49320.01,0.0,447.13,0.0,29.31,15.45,1734.9,1985-05-17
1964,49420.8,0.0,462.26,0.0,26.56,12.63,1442.83,1985-05-18
1965,49420.8,0.0,493.18,0.0,27.99,12.41,1395.04,1985-05-19
1966,49420.8,0.0,460.45,0.0,28.35,14.28,1602.58,1985-05-20
1967,49534.0,2.63,401.92,0.0,30.17,16.38,1845.06,1985-05-21
1968,49739.45,15.45,304.36,0.0,30.75,18.64,2150.09,1985-05-22
1969,49766.41,15.71,293.14,0.0,29.53,18.21,2096.76,1985-05-23
1970,49766.41,0.0,481.18,0.0,28.89,14.01,1598.01,1985-05-24
1971,49766.41,0.0,505.0,0.0,28.41,12.43,1429.33,1985-05-25
1972,49879.59,0.0,497.88,0.0,29.0,13.28,1518.3,1985-05-26
1973,50050.81,0.0,525.57,0.0,30.5,12.86,1439.41,1985-05-27
1974,50112.01,0.0,466.31,0.0,31.18,16.47,1851.21,1985-05-28
1975,50112.01,0.0,397.69,0.0,29.65,18.01,2071.91,1985-05-29
1976,50112.01,6.52,325.64,0.0,30.45,17.34,1977.93,1985-05-30
1977,50113.92,0.0,443.82,0.0,32.61,18.73,2149.06,1985-05-31
1978,50186.36,0.0,400.05,0.0,34.0,21.49,2556.63,1985-06-01
1979,50313.71,0.0,402.08,0.0,35.59,22.56,2722.4,1985-06-02
1980,50430.66,0.0,407.93,0.0,36.5,23.02,2785.81,1985-06-03
1981,50457.62,0.0,463.16,0.0,37.32,21.24,2430.25,1985-06-04
1982,50457.62,0.0,460.31,0.0,38.69,22.31,2586.47,1985-06-05
1983,50457.62,0.0,453.99,0.0,38.51,22.5,2625.94,1985-06-06
1984,50457.62,0.0,457.03,0.0,37.9,21.84,2524.47,1985-06-07
1985,50459.52,0.0,449.85,0.0,35.29,20.16,2300.08,1985-06-08
1986,50500.44,0.0,409.55,0.0,34.12,20.82,2443.34,1985-06-09
1987,50570.8,6.91,324.23,0.0,34.74,20.29,2367.15,1985-06-10
1988,50616.13,0.0,351.38,0.0,32.24,21.46,2553.12,1985-06-11
1989,50702.39,13.04,243.94,0.0,29.85,20.37,2379.33,1985-06-12
1990,50741.98,0.0,454.28,0.0,28.71,14.88,1694.33,1985-06-13
1991,50776.23,0.0,472.91,0.0,27.73,13.24,1515.71,1985-06-14
1992,50799.36,0.0,408.3,0.0,27.65,15.84,1796.19,1985-06-15
1993,50803.17,12.28,247.45,0.0,28.82,19.52,2274.95,1985-06-16
1994,50803.17,0.03,356.68,0.0,31.48,21.0,2480.78,1985-06-17
1995,50803.17,13.48,254.4,0.0,30.52,20.88,2460.6,1985-06-18
1996,50803.17,17.39,242.45,0.0,27.94,19.22,2231.54,1985-06-19
1997,50803.17,9.22,323.49,0.0,28.57,16.29,1842.71,1985-06-20
1998,50803.17,0.0,488.49,0.0,30.15,15.04,1704.26,1985-06-21
1999,50803.17,0.0,474.59,0.0,31.51,16.66,1888.38,1985-06-22
2000,50803.17,0.0,452.75,0.0,32.5,18.43,2112.33,1985-06-23
2001,50803.17,0.0,447.04,0.0,33.48,19.47,2267.95,1985-06-24
2002,50803.17,0.0,434.38,0.0,33.59,20.14,2346.83,1985-06-25
2003,50803.17,0.84,436.31,0.0,33.84,19.67,2288.25,1985-06-26
2004,50803.17,0.0,427.7,0.0,34.19,20.98,2477.34,1985-06-27
2005,50799.36,15.45,285.59,0.0,31.5,20.59,2414.2,1985-06-28
2006,50776.23,8.54,255.11,0.0,29.59,20.33,2373.35,1985-06-29
2007,50741.98,0.0,366.6,0.0,30.07,20.02,2331.68,1985-06-30
2008,50659.3,0.0,450.87,0.0,30.28,17.19,1957.77,1985-07-01
2009,50616.13,0.0,446.53,0.0,31.21,18.11,2080.84,1985-07-02
2010,50531.97,0.0,456.01,0.0,32.48,18.69,2158.1,1985-07-03
2011,50476.57,13.24,350.11,0.0,32.58,18.31,2107.22,1985-07-04
2012,50457.62,6.86,309.89,0.0,30.52,18.95,2191.99,1985-07-05
2013,50457.62,9.83,243.35,0.0,27.94,19.65,2290.13,1985-07-06
2014,50457.62,13.01,258.66,0.0,28.79,19.97,2325.35,1985-07-07
2015,50457.62,3.06,336.9,0.0,30.56,19.99,2319.24,1985-07-08
2016,50453.81,0.0,448.95,0.0,33.0,20.02,2330.99,1985-07-09
2017,50396.41,0.0,442.11,0.0,34.18,21.22,2514.78,1985-07-10
2018,50270.54,0.0,445.58,0.0,34.8,21.47,2555.81,1985-07-11
2019,50154.83,0.18,474.43,0.0,34.85,20.0,2325.91,1985-07-12
2020,50112.01,8.31,395.13,0.0,33.7,19.64,2288.08,1985-07-13
2021,50112.01,0.0,437.51,0.0,33.32,20.59,2414.45,1985-07-14
2022,50112.01,3.66,362.44,0.0,32.9,19.95,2323.4,1985-07-15
2023,50108.2,4.32,354.09,0.0,32.7,20.44,2389.65,1985-07-16
2024,49968.11,11.08,337.0,0.0,32.86,19.72,2298.37,1985-07-17
2025,49785.37,0.0,392.55,0.0,32.25,21.2,2512.75,1985-07-18
2026,49766.41,0.0,402.55,0.0,32.99,21.38,2540.05,1985-07-19
2027,49766.41,0.0,456.76,0.0,33.94,19.88,2310.82,1985-07-20
2028,49766.41,0.0,446.01,0.0,34.16,20.56,2408.95,1985-07-21
2029,49622.49,0.0,430.08,0.0,34.51,21.53,2564.46,1985-07-22
2030,49439.75,13.34,325.84,0.0,33.5,20.6,2415.78,1985-07-23
2031,49420.8,17.19,295.7,0.0,32.54,21.41,2545.23,1985-07-24
2032,49420.8,17.49,258.71,0.0,30.67,21.51,2561.99,1985-07-25
2033,49417.0,16.86,203.35,0.0,29.66,22.79,2766.51,1985-07-26
2034,49188.37,8.39,245.5,0.0,29.97,21.7,2591.32,1985-07-27
2035,49075.19,1.07,337.63,0.0,31.36,22.09,2654.98,1985-07-28
2036,49075.19,7.62,277.36,0.0,31.7,21.87,2619.75,1985-07-29
2037,49075.19,9.85,270.4,0.0,31.71,22.18,2669.17,1985-07-30
2038,48888.12,18.24,277.76,0.0,31.91,22.1,2656.39,1985-07-31
2039,48729.62,0.0,387.95,0.0,32.95,22.44,2710.02,1985-08-01
2040,48729.62,0.09,395.46,0.0,32.49,21.78,2604.95,1985-08-02
2041,48729.62,0.0,372.33,0.0,30.76,21.29,2525.79,1985-08-03
2042,48497.18,0.0,469.49,0.0,29.42,16.71,1896.4,1985-08-04
2043,48384.0,0.0,474.45,0.0,30.31,17.05,1936.52,1985-08-05
2044,48384.0,0.0,454.75,0.0,31.31,18.55,2135.41,1985-08-06
2045,48357.01,0.0,386.83,0.0,31.31,21.03,2484.7,1985-08-07
2046,48040.27,8.91,236.65,0.0,29.9,22.02,2642.88,1985-08-08
2047,48038.37,15.39,254.69,0.0,29.98,21.5,2559.65,1985-08-09
2048,48038.37,9.82,319.55,0.0,32.04,21.49,2557.96,1985-08-10
2049,47806.0,0.0,428.72,0.0,33.16,21.3,2527.33,1985-08-11
2050,47692.82,0.0,451.57,0.0,33.37,20.53,2404.95,1985-08-12
2051,47692.82,0.0,452.98,0.0,33.06,20.2,2355.16,1985-08-13
2052,47631.61,0.0,429.54,0.0,32.9,21.05,2487.72,1985-08-14
2053,47347.2,8.13,338.12,0.0,32.78,20.68,2429.58,1985-08-15
2054,47347.2,0.0,421.27,0.0,32.93,21.39,2542.82,1985-08-16
2055,47347.2,0.0,366.2,0.0,32.37,22.83,2773.3,1985-08-17
2056,47001.59,0.0,420.15,0.0,32.55,21.13,2500.2,1985-08-18
2057,47001.59,0.0,451.95,0.0,33.7,20.65,2424.29,1985-08-19
2058,47001.59,0.0,453.67,0.0,34.4,21.03,2484.08,1985-08-20
2059,46674.98,3.48,357.65,0.0,34.18,21.5,2560.06,1985-08-21
2060,46656.03,0.0,466.79,0.0,34.47,20.3,2376.21,1985-08-22
2061,46656.03,0.0,447.33,0.0,33.86,20.75,2440.53,1985-08-23
2062,46353.22,0.0,434.15,0.0,33.3,20.79,2447.18,1985-08-24
2063,46310.41,9.72,291.11,0.0,30.87,20.96,2474.29,1985-08-25
2064,46310.41,13.09,221.55,0.0,28.26,21.02,2482.59,1985-08-26
2065,46039.14,28.54,275.43,0.0,29.5,20.03,2325.24,1985-08-27
2066,45964.79,0.0,365.37,0.0,30.46,20.85,2455.79,1985-08-28
2067,45964.79,18.11,222.9,0.0,28.89,21.5,2560.22,1985-08-29
2068,45662.0,26.29,256.25,0.0,29.73,20.99,2477.61,1985-08-30
2069,45619.19,0.0,321.95,0.0,28.73,20.7,2432.11,1985-08-31
2070,45619.19,0.0,332.05,0.0,29.2,20.86,2457.69,1985-09-01
2071,45292.54,0.0,351.42,0.0,30.85,21.65,2584.41,1985-09-02
2072,45273.6,0.0,385.13,0.0,31.89,21.4,2544.07,1985-09-03
2073,45273.6,0.0,406.25,0.0,32.48,21.06,2490.25,1985-09-04
2074,44927.98,0.0,429.21,0.0,31.77,19.53,2275.99,1985-09-05
2075,44927.98,0.0,423.86,0.0,32.22,20.0,2320.0,1985-09-06
2076,44927.98,0.0,395.56,0.0,32.75,21.42,2547.82,1985-09-07
2077,44582.41,0.0,413.23,0.0,32.93,20.69,2430.08,1985-09-08
2078,44582.41,10.98,324.79,0.0,33.87,20.47,2395.02,1985-09-09
2079,44582.41,0.0,426.71,0.0,33.83,20.47,2395.2,1985-09-10
2080,44236.79,0.0,423.17,0.0,34.19,20.81,2449.63,1985-09-11
2081,44236.79,0.0,409.53,0.0,32.19,19.91,2318.91,1985-09-12
2082,44236.79,0.0,323.53,0.0,28.13,19.66,2288.99,1985-09-13
2083,43891.19,0.0,425.65,0.0,25.34,13.68,1565.16,1985-09-14
2084,43891.19,0.0,473.14,0.0,25.51,11.29,1343.01,1985-09-15
2085,43891.19,0.0,484.28,0.0,28.0,12.14,1411.46,1985-09-16
2086,43545.61,0.0,479.12,0.0,28.72,12.75,1466.97,1985-09-17
2087,43545.61,0.0,459.76,0.0,29.35,14.29,1627.57,1985-09-18
2088,43545.61,0.0,477.8,0.0,30.22,13.4,1535.46,1985-09-19
2089,43199.99,0.0,450.44,0.0,30.54,15.31,1740.05,1985-09-20
2090,43199.99,0.0,423.22,0.0,30.28,16.57,1880.22,1985-09-21
2091,42854.38,0.0,411.0,0.0,29.5,16.49,1869.08,1985-09-22
2092,42854.38,0.0,391.2,0.0,30.58,18.19,2091.49,1985-09-23
2093,42854.38,18.79,242.89,0.0,28.69,19.2,2231.5,1985-09-24
2094,42508.81,0.0,397.88,0.0,29.0,16.31,1847.68,1985-09-25
2095,42508.81,0.0,377.99,0.0,30.33,18.14,2086.37,1985-09-26
2096,42508.81,0.0,449.06,0.0,28.12,12.21,1416.61,1985-09-27
2097,42163.18,0.0,460.96,0.0,25.37,8.82,1145.87,1985-09-28
2098,42163.18,0.0,445.35,0.0,27.03,10.85,1308.01,1985-09-29
2099,42163.18,0.0,402.59,0.0,28.9,14.6,1663.17,1985-09-30
2100,41817.59,0.0,301.9,0.0,29.18,19.19,2229.97,1985-10-01
2101,41817.59,12.14,220.87,0.0,28.43,18.75,2166.35,1985-10-02
2102,41817.59,15.37,190.94,0.0,28.4,20.12,2340.2,1985-10-03
2103,41471.98,4.6,229.78,0.0,29.16,19.51,2269.97,1985-10-04
2104,41471.98,5.3,268.86,0.0,27.99,17.68,2021.86,1985-10-05
2105,41471.98,0.0,423.79,0.0,22.74,7.55,1043.93,1985-10-06
2106,41126.38,0.0,427.14,0.0,22.28,6.63,970.54,1985-10-07
2107,41126.38,0.0,424.56,0.0,24.52,8.36,1108.82,1985-10-08
2108,41124.48,0.0,372.11,0.0,27.1,13.51,1560.87,1985-10-09
2109,40780.79,0.0,400.95,0.0,29.41,13.38,1534.47,1985-10-10
2110,40780.79,0.0,373.0,0.0,30.33,15.68,1776.67,1985-10-11
2111,40737.97,0.0,367.93,0.0,31.4,16.57,1880.0,1985-10-12
2112,40435.2,0.0,319.55,0.0,30.95,18.6,2142.41,1985-10-13
2113,40435.2,0.0,331.45,0.0,30.82,17.76,2037.29,1985-10-14
2114,40392.38,0.23,315.99,0.0,31.31,18.67,2154.95,1985-10-15
2115,40089.58,0.0,317.45,0.0,30.43,18.06,2081.65,1985-10-16
2116,40089.58,0.0,266.16,0.0,28.6,18.85,2176.23,1985-10-17
2117,40046.77,0.0,225.89,0.0,26.48,18.62,2147.02,1985-10-18
2118,39744.01,0.0,245.03,0.0,26.71,18.18,2093.5,1985-10-19
2119,39744.01,0.0,317.83,0.0,29.0,17.04,1938.13,1985-10-20
2120,39725.06,0.0,350.48,0.0,30.31,16.17,1827.63,1985-10-21
2121,39398.37,0.0,292.13,0.0,28.88,18.0,2080.0,1985-10-22
2122,39398.37,0.15,275.41,0.0,27.58,17.5,2000.0,1985-10-23
2123,39398.37,0.0,204.27,0.0,26.31,19.21,2233.44,1985-10-24
2124,39052.8,0.0,278.62,0.0,26.71,16.66,1889.9,1985-10-25
2125,39052.8,0.0,266.8,0.0,26.31,16.8,1902.97,1985-10-26
2126,39052.8,0.0,235.82,0.0,23.36,15.47,1754.29,1985-10-27
2127,38768.42,18.73,143.05,0.0,21.65,15.58,1770.06,1985-10-28
2128,38707.2,8.51,192.62,0.0,22.62,14.24,1625.81,1985-10-29
2129,38707.2,5.47,108.56,0.0,15.92,11.76,1380.43,1985-10-30
2130,38594.02,11.26,201.98,0.0,21.92,13.23,1518.09,1985-10-31
2131,38361.61,10.12,171.79,0.0,23.29,15.94,1803.07,1985-11-01
2132,38361.61,0.0,192.79,0.0,19.57,13.71,1575.93,1985-11-02
2133,38359.71,0.2,185.35,0.0,18.91,13.25,1519.13,1985-11-03
2134,38042.96,0.0,281.78,0.0,17.63,8.73,1138.1,1985-11-04
2135,38015.99,0.0,347.8,0.0,15.79,3.76,799.24,1985-11-05
2136,38015.99,0.0,368.46,0.0,17.26,3.45,795.99,1985-11-06
2137,37902.82,0.0,389.78,0.0,20.49,3.39,790.03,1985-11-07
2138,37670.39,4.62,304.94,0.0,20.55,2.45,721.24,1985-11-08
2139,37670.39,0.0,391.08,0.0,20.76,2.28,720.55,1985-11-09
2140,37670.39,0.0,365.37,0.0,23.46,7.41,1032.47,1985-11-10
2141,37511.89,0.0,353.45,0.0,26.15,10.36,1269.03,1985-11-11
2142,37324.8,0.0,305.9,0.0,25.48,13.53,1561.96,1985-11-12
2143,37324.8,0.0,261.75,0.0,24.43,14.97,1713.01,1985-11-13
2144,37324.8,0.0,323.82,0.0,25.63,12.15,1411.71,1985-11-14
2145,37211.61,0.0,309.14,0.0,26.5,13.8,1582.97,1985-11-15
2146,36983.0,0.0,308.52,0.0,27.0,13.99,1599.39,1985-11-16
2147,36979.2,0.0,301.5,0.0,27.0,14.21,1617.02,1985-11-17
2148,36979.2,0.0,327.6,0.0,28.05,12.49,1439.15,1985-11-18
2149,36960.25,0.0,299.11,0.0,27.64,14.4,1633.78,1985-11-19
2150,36777.5,0.0,188.68,0.0,25.95,18.81,2171.11,1985-11-20
2151,36633.61,22.04,93.46,0.0,24.1,19.58,2284.82,1985-11-21
2152,36633.61,67.59,155.97,0.0,22.48,14.99,1707.02,1985-11-22
2153,36633.61,0.0,298.54,0.0,21.92,9.6,1208.25,1985-11-23
2154,36614.66,0.0,306.56,0.0,23.0,9.71,1216.89,1985-11-24
2155,36431.9,0.0,269.33,0.0,22.51,11.67,1373.61,1985-11-25
2156,36291.81,0.0,261.19,0.0,24.82,13.97,1597.88,1985-11-26
2157,36288.0,0.0,236.37,0.0,25.69,15.89,1801.03,1985-11-27
2158,36288.0,0.0,230.14,0.0,26.37,16.72,1897.53,1985-11-28
2159,36288.0,15.9,134.47,0.0,25.02,17.77,2042.92,1985-11-29
2160,36245.19,23.3,115.02,0.0,22.94,17.0,1919.71,1985-11-30
2161,36129.52,8.63,161.47,0.0,22.11,14.0,1600.0,1985-12-01
2162,36003.62,17.88,217.62,0.0,19.4,6.6,972.51,1985-12-02
2163,35946.2,0.0,312.23,0.0,13.47,-0.77,578.32,1985-12-03
2164,35942.39,0.0,312.16,0.0,13.16,-1.32,555.88,1985-12-04
2165,35942.39,0.0,265.09,0.0,13.76,2.65,737.18,1985-12-05
2166,35942.39,0.0,256.79,0.0,13.0,2.47,720.0,1985-12-06
2167,35942.39,0.0,320.23,0.0,13.9,-1.6,552.29,1985-12-07
2168,35923.45,0.0,329.66,0.0,16.25,-0.88,570.63,1985-12-08
2169,35868.04,0.0,322.65,0.0,19.37,2.53,730.12,1985-12-09
2170,35783.88,0.0,328.11,0.0,21.74,3.36,786.97,1985-12-10
2171,35740.7,0.0,304.19,0.0,23.18,7.53,1042.14,1985-12-11
2172,35658.0,16.1,177.84,0.0,24.05,13.4,1542.41,1985-12-12
2173,35623.75,47.49,101.76,0.0,20.51,15.08,1716.67,1985-12-13
2174,35600.59,10.34,250.78,0.0,17.58,-1.0,570.18,1985-12-14
2175,35596.79,0.0,308.81,0.0,8.26,-6.08,390.56,1985-12-15
